unit,date,type,market,instrument,mapped_instrument,base,quote,base_id,quote_id,transform_function,open,high,low,close,first_trade_timestamp,last_trade_timestamp,first_trade_price,high_trade_price,high_trade_timestamp,low_trade_price,low_trade_timestamp,last_trade_price,total_trades,total_trades_buy,total_trades_sell,total_trades_unknown,volume,quote_volume,volume_buy,quote_volume_buy,volume_sell,quote_volume_sell,volume_unknown,quote_volume_unknown,symbol,return,log_return,volatility,momentum
DAY,2025-06-25,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.587594,0.59088,0.564009,0.567272,1750809608,1750895968,0.587734,0.59088,1750817608,0.564009,1750892712,0.567272,3485,1780,1705,0,7717354.28152802,4469689.41917154,2852080.02567575,1654950.20545519,4865274.25585227,2814739.21371603,0,0,ADA,,,,
DAY,2025-06-26,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.567272,0.58162,0.550304,0.554221,1750896014,1750982274,0.567154,0.58162,1750907094,0.550304,1750951941,0.554221,3688,2031,1657,0,6217342.11969609,3494388.17063411,3012970.71474769,1704345.27239651,3204371.4049484,1790042.89823747,0,0,ADA,-0.023006600008461664,-0.023275382344425503,,
DAY,2025-06-27,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.554221,0.563459,0.545498,0.558526,1750982400,1751068782,0.55465,0.563459,1751042031,0.545498,1751050200,0.558526,4164,2233,1931,0,5650987.41987818,3134510.21618017,3440837.53505188,1907189.69947931,2210149.8848263,1227320.51670036,0,0,ADA,0.007767659471582533,0.00773764652479331,,
DAY,2025-06-28,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.558526,0.56839,0.555638,0.565734,1751068808,1751155175,0.558656,0.56839,1751133612,0.555638,1751117640,0.565734,2405,1492,913,0,3099473.00854733,1739257.44205466,1638105.03319633,918528.064149009,1461367.975351,820729.377905489,0,0,ADA,0.01290539742106911,0.012822832377500197,,
DAY,2025-06-29,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.565734,0.585156,0.555552,0.577508,1751155204,1751241599,0.565735,0.585156,1751236281,0.555552,1751212344,0.577508,3841,2186,1655,0,6324875.47934055,3589651.5428842,3322471.87265344,1896243.71713828,3002403.60668711,1693407.825746,0,0,ADA,0.02081190099940966,0.020598292042985054,,
DAY,2025-06-30,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.577508,0.59025,0.556795,0.572486,1751241604,1751327975,0.577508,0.59025,1751313595,0.556795,1751296745,0.572486,6226,3299,2927,0,13575296.3590781,7776647.95504066,6515439.68376977,3731790.63952812,7059856.67530671,4044857.31551283,0,0,ADA,-0.008695983432264076,-0.00873401413293648,,
DAY,2025-07-01,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.572486,0.576314,0.536671,0.542113,1751328000,1751414397,0.5726,0.576314,1751333705,0.536671,1751400247,0.542113,6873,3182,3691,0,11684079.5153738,6537814.81007291,4734255.08021866,2642059.96803022,6949824.43515394,3895754.84204279,0,0,ADA,-0.053054572513563825,-0.05451381418681065,,
DAY,2025-07-02,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.542113,0.599698,0.538947,0.584093,1751414414,1751500787,0.54207,0.599698,1751474483,0.538947,1751419062,0.584093,8537,4467,4070,0,16430052.27058,9411906.21699951,8258231.17031915,4733459.93301556,8171821.10026146,4678446.28398345,0,0,ADA,0.0774377297722062,0.07458574993107459,0.040165114896561695,0.016820999999999975
DAY,2025-07-03,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.584093,0.611732,0.582744,0.598963,1751500805,1751586750,0.584093,0.611732,1751545805,0.582744,1751510674,0.598963,8111,4381,3730,0,12455819.631433,7423467.00739704,7089763.79516545,4222233.29946549,5366055.83626779,3201233.70793187,0,0,ADA,0.02545827462407546,0.025139609866421903,0.03879562338434632,0.04474200000000006
DAY,2025-07-04,954,kraken,ADAUSD,ADA-USD,ADA,USD,12,5,,0.598963,0.603345,0.563041,0.572564,1751587200,1751673578,0.599288,0.603345,1751591964,0.563041,1751646034,0.572564,6899,3161,3738,0,26032614.5422251,14866453.5610978,10534338.4327904,6015429.23522618,15498276.1094355,8851024.32587129,0,0,ADA,-0.044074508776001275,-0.04507530701827396,0.044301133557035466,0.014037999999999995
